time,value
0,90
1,60
3,170
4,120
5,170
6,20
8,70
9,170
11,160
12,110
13,90
15,30
16,110
18,40
20,150
21,120
23,110
24,80
25,160
26,100
27,60
29,40
31,170
32,60
34,110
35,110
37,60
38,70
39,80
40,130
41,150
42,80
44,80
46,170
47,20
49,100
51,110
52,140
54,10
55,150
56,180
58,90
60,130
62,170
63,170
65,150
66,130
68,50
70,140
71,0
72,80
74,150
75,70
76,100
78,100
79,50
81,40
82,80
83,130
85,40
87,120
89,20
91,60
92,170
93,10
94,70
96,140
98,170
99,140
100,130
102,70
104,50
106,120
108,170
109,170
110,10
112,130
113,20
114,10
115,40
116,50
117,20
118,90
120,40
121,30
123,90
124,30
125,70
126,160
127,20
129,150
131,170
133,100
134,90
135,30
136,0
138,130
140,90
142,40
144,50
145,40
147,50
149,40
150,180
151,110
152,70
154,50
156,70
158,130
159,60
161,120
163,150
165,10
167,70
168,140
169,170
171,150
173,80
174,30
176,70
178,70
179,100
181,70
183,160
184,50
186,110
187,30
188,180
190,150
192,90
193,140
195,100
196,0
197,100
199,150
200,140
202,100
203,90
204,80
206,40
207,170
208,60
209,170
211,170
213,40
215,170
217,60
219,180
220,180
222,90
224,160
225,150
226,30
228,10
230,70
232,180
234,70
235,110
237,110
239,140
241,160
243,30
245,130
246,120
247,160
